Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Backlog,Reopened,On Hold,Refined,In Development,Ready for test,In Testing,Waiting for acceptance,In Progress,Done,Abandoned,,,,
Production bug,CALLS-761,[FlowMerge] iBank daily payment limit is exceeded error,11/14/24,239.63h,,0.00h,,,,4.67h,4.68h,304.78h,21.22h,,,,12742.70h,,,,
,CALLS-752,iBank: fix grouping of payments in List of Payments PDF printout,10/28/24,0.02h,,0.00h,,,,0.00h,3.85h,92.60h,75.33h,,,,13149.38h,,,,
,CALLS-751,iBank: update download link logic in smart form and list of payments,10/28/24,0.27h,,72.32h,,,,1.23h,24.52h,77.05h,0.37h,,,,13146.13h,,,,
Production bug,CALLS-750,Incorrect logic in personal defined payments,10/29/24,1.13h,,139.65h,,,,100.15h,4.25h,18.12h,0.38h,,,,13126.20h,,,,
,CALLS-749,iBank: replace old message classes with ui-message component,10/28/24,18.73h,,0.00h,,,,0.00h,72.05h,164.63h,1.93h,,,,13150.02h,,,,
,CALLS-748,Verify Pre-production environment[SE] readiness for Capacity tests!,11/19/24,0.00h,,185.58h,,,,121.58h,0.00h,0.00h,507.20h,,,,12620.48h,,,,
,CALLS-747,Whitelist pia payments CN's for payment services,10/16/24,0.00h,,1.72h,,,,0.00h,27.68h,0.00h,0.00h,,,,13409.95h,,,,
Production bug,CALLS-746,"[Incoming-swift-message-processor] Error 2024-10-14 13:11:08,483 ERROR Holder Channel with code POP does not exist",10/14/24,2.07h,,0.00h,,,,0.00h,0.43h,0.18h,0.08h,,,,13483.13h,,,,
Production bug,CALLS-744,[FlowMerge] MT101 payments missing from MT940 account statement / MT942 interim report,10/16/24,0.00h,,1.62h,,,,0.10h,19.63h,0.38h,24.03h,,,,13442.35h,,,,
Production bug,CALLS-743,[FlowMerge] MT101 processing error - documentNumberContainsIllegalCharacters,10/14/24,0.00h,,0.65h,,,,0.00h,0.23h,65.47h,5.48h,,,,13484.62h,,,,
,CALLS-915,PDF generation - iText vulnerability - Apache PDF Box as solution,5/16/25,3100.10h,,69.92h,,,,1968.88h,45.00h,48.00h,0.00h,,,,8354.13h,,,,
Production bug,CALLS-742,[FlowMerge] MT101 processing errors: java.lang.IllegalArgumentException: can't parse argument number: ,10/14/24,0.25h,,23.12h,,,,0.00h,0.15h,66.52h,6.97h,,,,13483.13h,,,,
Production bug,CALLS-741,[FlowMerge] MT101 with SEPA cross-border payment in amount over 10'000 EUR not processed in LV,10/14/24,0.13h,0.23h,27.92h,,,,0.00h,0.15h,66.52h,5.23h,,,,13484.87h,,,,
Production bug,CALLS-735,[FlowMerge] Collect missing error code mappings,11/5/24,16.22h,122.78h,382.92h,,,,6.43h,0.00h,113.02h,5.07h,,,,12955.63h,,,,
Production bug,CALLS-739,"[Ibank] International SEPA payment ORA-12899: value too large for column ""CREBIT"".""DP_ISO"".""INITIATING_PARTY_NAME""",10/10/24,17.75h,,0.00h,,,,2.67h,1.05h,2.27h,0.00h,,,,13579.52h,,,,
Production bug,CALLS-734,[FlowMerge] iBank imported defective payments get lost when user saves into List of payments,10/10/24,0.00h,1.08h,2.12h,,,,0.00h,20.12h,1.28h,1.83h,,,,13578.87h,,,,
Production bug,CALLS-745,[FlowMerge] Error in sepa-exchange when international payment cancelled before sending,10/15/24,0.10h,,20.73h,,,,0.08h,2.77h,0.75h,27.15h,,,,13531.07h,,,,
Production bug,CALLS-738,"[EPE] file import ORA-12899: value too large for column ""CREBIT"".""DP_ISO"".""INITIATING_PARTY_NAME""",10/10/24,2.95h,0.27h,17.95h,,,,2.68h,0.87h,2.28h,0.12h,,,,13579.57h,,,,
Production bug,CALLS-732,[FlowMerge] Error without label for sepa crossborder,10/10/24,0.37h,,21.05h,,,,0.00h,0.92h,19.95h,0.48h,,,,13583.67h,,,,
Production bug,CALLS-733,[FlowMerge] iBank daily payment limit is exceeded error,10/10/24,0.13h,2.65h,24.83h,,,,0.00h,0.92h,19.97h,1.25h,,,,13582.87h,,,,
Production bug,CALLS-731,[Flowmerge] Sepa-exchange could not process intragroup accept,10/8/24,0.00h,5.85h,16.23h,,,,0.00h,0.37h,0.15h,4.07h,,,,13625.67h,,,,
Production bug,CALLS-736,[FlowMerge] Exclude future value date credit payments from EPE ready for crediting.,11/5/24,0.17h,,68.12h,,,,511.97h,88.85h,31.10h,0.00h,,,,12953.73h,,,,
Production bug,CALLS-729,[FlowMerge] Some mandatory/optional data gets lost in iBank SEPA cross-border payment,10/8/24,0.00h,,3.25h,,,,0.70h,18.83h,1.63h,1.08h,,,,13629.00h,,,,
Production bug,CALLS-730,[FlowMerge] Risk screening being done 2 times by different nodes after daychange,10/8/24,0.00h,,0.18h,,,,4.05h,17.50h,0.47h,6.85h,,,,13627.88h,,,,
Production bug,CALLS-728,[EPE] Error in epe after flowmerge start,10/7/24,0.02h,,52.50h,,,,0.00h,0.02h,1.60h,0.12h,,,,13651.98h,,,,
,CALLS-712,iBank: remove Incoming international payments,11/5/24,0.00h,,332.22h,,,,243.63h,47.20h,164.70h,1.53h,,,,12959.82h,,,,
,CALLS-711,iBank: move international payment form to a different place,11/7/24,2.58h,,521.43h,,,,147.00h,51.97h,121.27h,0.90h,,,,12906.53h,,,,
,CALLS-710,[DB] Update domestic and FP error mapping,10/4/24,0.15h,,0.00h,,,,0.93h,5.23h,17.78h,0.00h,,,,13729.12h,,,,
,CALLS-709,[Forms Teller] Fix forms due to upgrade to 12.2.1.19,10/4/24,0.62h,,0.10h,,,,0.00h,47.80h,19.30h,2.30h,,,,13726.97h,,,,
,CALLS-769,iBank: labels for translations,3/6/25,3265.32h,0.00h,0.00h,,,,0.93h,338.30h,116.70h,55.78h,,,,10048.75h,,,,
,CALLS-772,iBank smart form - Actions with failed Instant payments,1/7/25,0.03h,1226.18h,139.00h,,,,1052.63h,24.78h,70.65h,6.78h,,,,11445.13h,,,,
Production bug,CALLS-704,payment-services-discovery peer-node-read-timeout,9/25/24,0.42h,,0.00h,,,,0.00h,3.08h,0.00h,0.00h,,,,13938.98h,,,,
,CALLS-727,Move one of servers to another Datacentre,9/27/24,0.15h,,0.00h,,,,0.00h,48.92h,0.00h,0.00h,,,,13898.40h,,,,
,CALLS-726,Investigate monitoring needs for homebank services,2/17/25,3504.62h,0.00h,0.00h,,,,0.00h,,0.00h,0.00h,,,,10460.28h,,,,
,CALLS-725,Investigate do we really need to stop incoming-swift-message-processor during release,11/21/24,1392.05h,,,,,,,,,,,,,12572.88h,,,,
,CALLS-724,Investigate do we still need to restart incoming-swift-msg-processor in PROD every night,11/21/24,1391.83h,,,,,,,,,,,,,12573.13h,,,,
,CALLS-723,Move PROD incoming-swift-msg-processor configuration from homebank_W715 to PB_incoming-swift-msg-processor_W715,11/6/24,1035.10h,,,,,,,,,,,,,12930.62h,,,,
,CALLS-722,Decommission old incoming-swift-msg-processor nodes,9/27/24,17.73h,,0.00h,,,,0.00h,50.08h,0.00h,0.00h,,,,13897.93h,,,,
,CALLS-721,[incoming-swift-msg-processor] LT is running on one node in PROD,11/12/24,1174.80h,,,,,,,,,,,,,12791.00h,,,,
,CALLS-720,Order UrbanCode rights for testers,9/25/24,25.02h,,,,,,,,,,,,,13941.52h,,,,
,CALLS-719,Order UrbanCode rights for maintenace,9/25/24,25.05h,,,,,,,,,,,,,13941.52h,,,,
,CALLS-718,Upgrade components for incoming-swift-msg-processor,10/7/24,25.23h,,0.00h,,,,0.00h,283.32h,0.00h,0.00h,,,,13658.17h,,,,
,CALLS-717,Order mapping of servers to payments AD group for accessing servers,12/10/24,1587.78h,,0.02h,,,,0.00h,141.03h,0.00h,119.85h,,,,12118.13h,,,,
,CALLS-716,Order removal of not used applications in UrbanCode,11/6/24,1037.08h,,,,,,,,,,,,,12930.62h,,,,
,CALLS-715,Add incoming-swift-msg-processor servers names to wiki page,9/25/24,20.13h,,,,,,,,,,,,,13947.62h,,,,
,CALLS-714,Add regression tests for Homebank service,11/6/24,145.85h,,0.00h,,,,0.00h,885.77h,0.00h,5.55h,,,,12930.63h,,,,
,CALLS-713,Homebank service W715 takeover from International payments team to Baltic Payments,2/17/25,3507.67h,,,,,,,,,,,,,10460.23h,,,,
,CALLS-702,[DB] Enable creating/updating of domestic defined payments to store beneficiary address (LV/EE),9/27/24,2.80h,,0.00h,,,,0.00h,98.25h,45.85h,23.90h,,,,13894.17h,,,,
,CALLS-701,Add select grant for crebit.iban_bank for PAYMENT_MONIT_ROLE,9/19/24,0.00h,,0.42h,,,,0.55h,0.63h,0.32h,4.62h,,,,14083.52h,,,,
,CALLS-698,[Ibank] Tech error in List of payments when high risk country sysglobal is turned on,9/23/24,0.00h,,0.00h,,,,0.05h,0.77h,113.67h,7.05h,,,,13987.25h,,,,
,CALLS-697,MDM API migration to OpenShift (Update SEPA exchange dependencies),10/18/24,0.02h,2.07h,191.87h,,,,126.10h,0.00h,358.27h,42.07h,,,,13394.35h,,,,
,CALLS-699,iBank UI: Info and warning messages issue,9/24/24,0.03h,,64.90h,,,,2.42h,93.50h,1.87h,24.38h,,,,13967.75h,,,,
,CALLS-696,iBank: link to currency exchange should be showed only if currency has exchange rate,9/20/24,20.92h,,0.00h,,,,0.00h,10.78h,33.37h,26.62h,,,,14063.67h,,,,
,CALLS-695,Fill SYSTEM_REFERENCE_TYPE for payments in FP debit batch,9/17/24,0.00h,0.00h,0.00h,,,,1.43h,2.93h,19.75h,2.40h,,,,14132.35h,,,,
Production bug,CALLS-694,LV clients can not import files with non standard reference numbers,9/13/24,0.08h,,0.00h,,,,0.00h,0.02h,0.00h,0.38h,,,,14227.95h,,,,
,CALLS-692,Sysglobal implementation on applications,9/20/24,0.12h,,0.00h,,,,163.63h,,28.32h,0.00h,,,,14061.90h,,,,
,CALLS-691,Statement changes on iBank,9/23/24,1.98h,,0.00h,,,,19.77h,4.75h,95.55h,0.97h,,,,14132.82h,,,,
,CALLS-690,Handle pending payments on the arrival of value date,9/17/24,0.10h,,37.92h,,,,1.35h,24.35h,0.58h,93.53h,,,,14135.87h,,,,
,CALLS-627,Fill SYSTEM_REFERENCE_TYPE for Ibank/Gateway/... payments,9/20/24,44.68h,,0.00h,,,,26.48h,71.80h,17.20h,75.40h,,,,14062.98h,,,,
,CALLS-626,Fill SYSTEM_REFERENCE_TYPE for Standing order payments,9/17/24,44.78h,,0.00h,,,,99.72h,15.10h,4.87h,2.65h,,,,14131.52h,,,,
,CALLS-625,Fill SYSTEM_REFERENCE_TYPE for STAR payments,9/17/24,44.82h,,0.00h,,,,25.55h,0.88h,89.03h,2.20h,,,,14136.18h,,,,
,CALLS-624,Move transaction creation to new interface (position_keeping),9/16/24,44.92h,,0.00h,,,,19.28h,78.93h,0.00h,0.00h,,,,14155.63h,,,,
,CALLS-682,iBank: remove European payments from international payment form,10/28/24,0.02h,,570.15h,,,,24.97h,152.22h,260.25h,168.33h,,,,13147.57h,,,,
,CALLS-613,iBank: missing funds are not refreshed if payment is deleted from list,9/10/24,19.95h,,0.00h,,,,0.00h,0.82h,0.42h,1.10h,,,,14301.85h,,,,
Production bug,CALLS-612,SEPA crossborder/intragroup payment initiated from STAR has origin_bank_txid filled,9/10/24,0.05h,,0.07h,,,,0.00h,2.07h,0.00h,19.02h,,,,14304.25h,,,,
,CALLS-610,Ibank LV. There is empty bank defined payment list in SMART form,9/6/24,0.10h,,0.00h,,,,0.00h,1.95h,2.08h,0.47h,,,,14396.32h,,,,
Production bug,CALLS-609,Payment credited while still on hold in risk screening,9/18/24,1.50h,,262.45h,,,,0.22h,23.58h,0.37h,3.88h,,,,14109.95h,,,,
,CALLS-607,iBank: wrong styling of amount in Missing funds,9/9/24,2.12h,,0.00h,,,,19.72h,1.65h,71.75h,2.03h,,,,14324.92h,,,,
,CALLS-665,[IPR] assess external business rule engine (DMN) called Camunda7-DMN as a library,12/3/24,2209.12h,,,,,,,,,,,,,,12281.65h,,,
,CALLS-662,[IPR] assess external business rule engine (DMN) called jDMN as a library,12/3/24,2209.12h,,,,,,,,,,,,,,12281.65h,,,
,CALLS-674,[IPR] assess option to use in-built business rule engine (DMN) in Camunda7,12/3/24,2209.22h,,,,,,,,,,,,,,12281.65h,,,
,CALLS-634,[IPR] assess posibilities to receive message (Kafka) in Conductor-OSS as platform,10/22/24,1200.42h,,0.00h,,,,0.00h,0.00h,0.00h,0.00h,,,,13290.78h,,,,
,CALLS-658,[IPR] assess posibilities to receive message (Kafka) in Camunda7 as library,10/22/24,1200.42h,,0.00h,,,,0.00h,0.00h,0.00h,0.00h,,,,13290.80h,,,,
,CALLS-657,[IPR] assess posibilities to receive message (Kafka) in Camunda7 as platform,10/22/24,1200.42h,,0.00h,,,,0.00h,0.00h,0.00h,0.00h,,,,13290.80h,,,,
,CALLS-639,[IPR] assess possibilities to send messages (Kafka) from Conductor-OSS as platform,10/22/24,1200.17h,,0.00h,,,,0.00h,0.23h,0.00h,0.00h,,,,13290.87h,,,,
,CALLS-640,[IPR] assess possibilities to send messages (Kafka) from Camunda7 as library,10/22/24,1200.17h,,0.00h,,,,0.00h,0.23h,0.00h,0.00h,,,,13290.87h,,,,
,CALLS-630,[IPR] assess possibilities to send messages (Kafka) from Camunda7 as platform,10/22/24,1200.15h,,0.00h,,,,0.00h,0.23h,0.00h,0.00h,,,,13290.88h,,,,
,CALLS-631,[IPR] assess posibilities to communicate with services over HTTPS in Conductor-OSS as platform,10/21/24,1172.87h,,0.00h,,,,0.00h,3.20h,0.00h,0.00h,,,,13315.30h,,,,
,CALLS-661,[IPR] assess posibilities to communicate with services over HTTPS in Camunda7 as library,10/21/24,1172.87h,,0.00h,,,,0.00h,3.18h,0.00h,0.00h,,,,13315.32h,,,,
,CALLS-673,[IPR] assess posibilities to communicate with services over HTTPS in Camunda7 as platform,10/21/24,1172.87h,,0.00h,,,,0.00h,3.18h,0.00h,0.00h,,,,13315.32h,,,,
,CALLS-671,[IPR] assess process instance execution (incl. parralel tasks) in Conductor-OSS as platform,10/28/24,1346.55h,,0.00h,,,,0.00h,0.03h,0.00h,0.00h,,,,13144.85h,,,,
,CALLS-648,[IPR] assess process instance execution (incl. parralel tasks) in Camunda7,10/28/24,1346.55h,,0.00h,,,,0.00h,0.03h,0.00h,0.00h,,,,13144.85h,,,,
,CALLS-644,[IPR] assess posibilities to initiate process (flow) in Conductor-OSS as platform,10/21/24,1032.25h,,0.00h,,,,0.00h,140.60h,0.00h,0.00h,,,,13318.67h,,,,
,CALLS-642,[IPR] assess posibilities to initiate process (flow) in Camunda7 as library,10/21/24,1056.25h,0.00h,0.00h,,,,0.00h,140.60h,0.00h,0.00h,,,,13318.67h,,,,
,CALLS-664,[IPR] assess posibilities to initiate process (flow) in Camunda7 as platform,10/21/24,1032.25h,,0.00h,,,,0.00h,140.60h,0.00h,0.00h,,,,13318.68h,,,,
,CALLS-628,[IPR] assess possibilities to manage process (flow) instances in Conductor-OSS as platform,10/21/24,1176.28h,,0.00h,,,,0.00h,1.08h,0.00h,0.00h,,,,13314.20h,,,,
,CALLS-655,[IPR] assess possibilities to manage process (flow) instances in Camunda7 as library,10/21/24,1176.30h,,0.00h,,,,0.00h,1.08h,0.00h,0.00h,,,,13314.20h,,,,
,CALLS-650,[IPR] assess possibilities to manage process (flow) instances in Camunda7 as platform,10/21/24,1200.30h,,0.00h,,,,0.00h,1.08h,0.00h,0.00h,,,,13314.20h,,,,
,CALLS-633,[IPR] assess possibilities to define process (flow) in Conductor-OSS as platform,10/16/24,1009.53h,,0.00h,,,,0.00h,48.33h,0.00h,0.00h,,,,13433.78h,,,,
,CALLS-647,[IPR] assess possibilities to define process (flow) in Camunda7 as library,10/16/24,1009.53h,,0.00h,,,,0.00h,48.32h,0.00h,0.00h,,,,13433.82h,,,,
,CALLS-663,[IPR] assess possibilities to define process (flow) in Camunda7 as platform,10/16/24,1009.55h,,0.00h,,,,0.00h,48.28h,0.00h,0.00h,,,,13433.83h,,,,
,CALLS-666,[IPR] assess posibility to use in-memory DB for Camunda7 as library,10/22/24,1201.12h,,0.00h,,,,0.00h,0.00h,0.00h,0.00h,,,,13290.67h,,,,
,CALLS-638,[IPR] assess scalability options of Conductor-OSS as platform,10/28/24,1346.98h,,0.00h,,,,0.00h,0.05h,0.00h,0.00h,,,,13144.77h,,,,
,CALLS-668,[IPR] assess scalability options of Camunda7 as library,10/29/24,1346.98h,,0.00h,,,,0.00h,23.58h,0.00h,0.00h,,,,13121.23h,,,,
,CALLS-675,[IPR] assess scalability options of Camunda7 as platform,10/29/24,1346.98h,,0.00h,,,,0.00h,23.57h,0.00h,0.00h,,,,13121.27h,,,,
,CALLS-656,[IPR] assess performance of Conductor-OSS as platform with RDBMS (Oracle),10/28/24,1347.05h,,0.00h,,,,0.00h,0.02h,0.00h,0.00h,,,,13144.78h,,,,
,CALLS-660,[IPR] assess performance of Conductor-OSS as platform with In-Memory DB (Redis?),10/28/24,1347.07h,,0.00h,,,,0.00h,0.02h,0.00h,0.00h,,,,13144.78h,,,,
,CALLS-667,[IPR] assess performance of Camunda7 as library,10/29/24,1347.08h,,0.00h,,,,0.00h,23.63h,0.00h,0.00h,,,,13121.17h,,,,
,CALLS-637,[IPR] assess performance of Camunda7 as platform,10/29/24,1347.10h,,0.00h,,,,0.00h,23.57h,0.00h,0.00h,,,,13121.22h,,,,
,CALLS-676,[FLM] assess auditability in Conductor-OSS as platform,11/7/24,1586.53h,,,,,,,,,,,,,12905.47h,,,,
,CALLS-641,[FLM] assess auditability in Camunda7 as library,12/3/24,2210.35h,,,,,,,,,,,,,,12281.65h,,,
,CALLS-670,[FLM] assess auditability in Camunda7 as platform,11/11/24,1681.77h,,,,,,,,,,,,,12810.25h,,,,
,CALLS-635,[FLM] assess traceability in Conductor-OSS as platform,11/7/24,1586.57h,,,,,,,,,,,,,12905.47h,,,,
,CALLS-636,[FLM] assess traceability in Camunda7 as library,12/3/24,2210.37h,,,,,,,,,,,,,,12281.65h,,,
,CALLS-645,[FLM] assess traceability in Camunda7 as platform,11/11/24,1681.78h,,,,,,,,,,,,,12810.25h,,,,
,CALLS-659,[FLM] assess communication security in Conductor-OSS as platform,11/7/24,1586.60h,,,,,,,,,,,,,12905.47h,,,,
,CALLS-653,[FLM] assess communication security in Camunda7 as library,11/7/24,1587.42h,,0.00h,,,,0.00h,0.00h,0.00h,0.00h,,,,12904.65h,,,,
,CALLS-654,[FLM] assess communication security in Camunda7 as platform,11/7/24,1587.40h,,0.00h,,,,0.00h,0.00h,0.00h,0.00h,,,,12904.67h,,,,
,CALLS-669,[FLM] assess authorization capabilities in Conductor-OSS as platform,11/7/24,1586.63h,,,,,,,,,,,,,12905.47h,,,,
,CALLS-649,[FLM] assess authorization capabilities in Camunda7 as library,11/11/24,1682.10h,,0.00h,,,,0.00h,0.00h,0.00h,0.00h,,,,12810.02h,,,,
,CALLS-651,[FLM] assess authorization capabilities in Camunda7 as platform,11/11/24,1633.85h,,,,,,,,,,,,,12810.27h,0.00h,,,
,CALLS-629,[FLM] assess identification and authentication capabilities in Conductor-OSS as platform,11/7/24,1586.62h,,,,,,,,,,,,,12905.53h,,,,
,CALLS-672,[FLM] assess identification and authentication capabilities in Camunda7 as library,11/7/24,1586.67h,,0.00h,,,,0.00h,0.00h,0.00h,0.00h,,,,12905.48h,,,,
,CALLS-632,[FLM] assess identification and authentication capabilities in Camunda7 as platform,11/7/24,1586.67h,0.00h,0.00h,,,,0.00h,0.00h,0.00h,0.00h,,,,12905.50h,,,,
,CALLS-646,[FLM] create Sping Boot application and run Camunda7 orchestrator as a library,10/14/24,571.32h,,0.00h,,,,1.00h,437.72h,0.00h,0.00h,,,,13482.17h,,,,
,CALLS-652,[FLM] install and run Conductor-OSS orchestrator as a platform,10/14/24,571.33h,,0.00h,,,,1.00h,437.70h,0.00h,0.00h,,,,13482.18h,,,,
,CALLS-643,[FLM] install and run Camunda7 orchestrator as a platform,10/14/24,571.35h,,0.00h,,,,1.00h,437.68h,0.00h,0.00h,,,,13482.20h,,,,
,CALLS-604,Add archive code to the intermediary request forward action parameters for Smart form,9/3/24,0.00h,,20.27h,,,,0.00h,3.38h,0.00h,3.60h,,,,14467.20h,,,,
,CALLS-779,Forms Teller - Adjust incoming faulty payment list form for Cross-border Instant payments (SIPCI),12/17/24,0.00h,0.03h,2513.78h,,,,24.07h,3.35h,67.37h,30.27h,,,,11946.45h,,,,
,CALLS-775,Forms Teller - Adjust SEPA change IN payment/return form for Cross-border Instant payments (SIPCI),12/18/24,24.25h,0.20h,2513.92h,,,,0.57h,96.50h,4.55h,46.13h,,,,11923.82h,,,,
,CALLS-773,Sysglobal for enabling outgoing Cross-border Instant payments,11/25/24,1216.57h,7.18h,834.63h,,,,23.00h,5.42h,66.97h,2.02h,,,,12478.78h,,,,
,CALLS-623,[DB] Solution improvements – Payments data for Statements after SEPA FM,9/20/24,341.93h,,42.80h,,,,20.80h,96.50h,0.07h,75.40h,,,,14062.98h,,,,
,CALLS-602,SEPA Payments Baltic testing - TPS Gateway on Container,10/31/24,1561.88h,,,,,,,,,,,,,,13079.97h,,,
,CALLS-622,Create release branches on payment services for target release,9/18/24,404.70h,,0.00h,,,,126.40h,21.58h,0.00h,0.00h,,,,14107.98h,,,,
Production bug,CALLS-603,Open Bank payments with IPZ in_channel_code have wrong status on crebit.dp_out_thn,9/4/24,24.23h,,139.05h,,,,1.00h,22.23h,27.70h,1.52h,,,,14445.68h,,,,
,CALLS-783,Forms Teller - Adjust freeze of incoming Cross-border Instant payment (SIPCI),12/17/24,0.03h,,2656.10h,,,,27.95h,67.40h,3.60h,22.72h,,,,11950.35h,,,,
,CALLS-785,Forms Teller - Adjust recall refuse for incoming Cross-border Instant payment (SIPCI),12/13/24,0.63h,,2488.07h,,,,28.23h,91.42h,53.15h,22.53h,,,,12044.75h,,,,
,CALLS-784,Forms Teller - Adjust payment details form for incoming Cross-border Instant payments (SIPCI),12/12/24,0.02h,24.27h,2320.12h,,,,101.25h,44.38h,21.60h,174.23h,,,,12066.27h,,,,
,CALLS-781,Forms Teller - Adjust incoming payment list form for Cross-border Instant payments (SIPCI),11/25/24,0.03h,0.00h,2178.20h,,,,93.98h,3.37h,0.23h,1.98h,,,,12476.33h,,,,
,CALLS-599,Whitelist clients CN's for PROD payment services,9/20/24,0.38h,626.70h,3.57h,,,,0.00h,63.53h,0.00h,0.00h,,,,14066.32h,,,,
,CALLS-596,Whitelist savings roundup CN for PPTE,8/22/24,0.02h,,18.07h,,,,4.48h,0.00h,0.00h,0.00h,,,,14756.57h,,,,
,CALLS-594,Setup new Roundup investment application access for payment services,8/27/24,1.42h,,3.88h,,,,0.00h,162.02h,0.00h,0.00h,,,,14640.28h,,,,
,CALLS-591,[preprod] Use new iBank mTLS certs to connect to payment services,8/26/24,0.22h,,13.83h,,,,0.23h,3.53h,48.07h,98.43h,,,,14659.77h,,,,
Test,CALLS-590,Test EKS incoming international payment after flow merge,8/21/24,0.00h,,0.00h,,,,0.00h,,0.00h,45.55h,,,,14781.93h,,,,
,CALLS-771,Cross-border instant payments op_id configuration update,1/20/25,0.00h,2873.18h,0.05h,,,,628.08h,24.05h,194.62h,63.87h,,,,11138.22h,,,,
,CALLS-605,[DB] Consider increasing datatype length in character conversion,9/9/24,475.65h,,47.87h,,,,4.98h,89.77h,0.02h,0.00h,,,,14330.62h,,,,
,CALLS-588,Payment to non-SEPA country - BIC is replaced during SO payment creation,8/23/24,0.08h,,115.02h,,,,0.52h,52.13h,19.03h,31.28h,,,,14731.07h,,,,
,CALLS-621,Remove JWT usage from payment services,12/2/24,1872.65h,,0.00h,,,,647.57h,124.93h,0.00h,1.55h,,,,12306.02h,,,,
,CALLS-593,"[iBank] After using all payment detail overwriting in mass payment that is saved in list of payments, total payment count does not display correct info",8/23/24,162.82h,,0.02h,,,,49.43h,22.27h,5.95h,0.10h,,,,14732.35h,,,,
Production bug,CALLS-592,"Technical error entering ""Province"" where symbol amount >35",8/22/24,166.05h,,0.00h,,,,0.18h,6.43h,17.08h,26.03h,,,,14760.42h,,,,
,CALLS-587,iBank: do not change payment currency when opening international payment from defined payment,8/19/24,28.00h,,0.00h,,,,0.00h,1.42h,113.73h,4.53h,,,,14829.78h,,,,
,CALLS-586,STAR > Administrative > Secondary activities > Repeal,9/9/24,0.00h,73.87h,165.83h,,,,6.78h,333.40h,20.95h,72.62h,,,,14327.42h,,,,
,CALLS-585,[openshift][local] Disable mTLS for local payment-services setup,8/21/24,219.33h,,0.02h,,,,0.00h,2.73h,0.00h,0.00h,,,,14779.22h,,,,
,CALLS-589,[CORE DB] Create new predefined searches in Outgoing/Incoming payment search,9/6/24,0.17h,,305.85h,,,,0.35h,5.05h,95.72h,257.97h,,,,14402.23h,,,,
,CALLS-791,Forms Teller - Adjust returning Cross-border Instant payment (with SIPCO),12/13/24,0.00h,24.72h,2784.57h,,,,23.40h,4.62h,144.88h,22.52h,,,,12044.77h,,,,
Production bug,CALLS-583,"In LV, Revert OP_ID 7S, 7SQ conf",8/5/24,0.00h,,0.13h,,,,0.00h,0.62h,63.47h,2.62h,,,,15168.68h,,,,
,CALLS-776,"Forms Teller - Verify SEPA case search/list/details form for Cross-border Instant payments/returns (SIPCO, SIPCI)",12/13/24,0.75h,230.18h,2785.53h,,,,0.00h,,192.23h,4.28h,,,,12043.65h,,,,
Production bug,CALLS-606,[Forms Teller] Error in Electronical foreign payments: Truncation occured,9/9/24,0.00h,,888.97h,,,,0.40h,4.50h,1.43h,93.80h,,,,14325.18h,,,,
,CALLS-580,EE Forms Teller - Payments annulation,8/7/24,0.00h,0.90h,141.63h,,,,25.30h,99.87h,1.57h,17.43h,,,,15121.93h,,,,
Production bug,CALLS-579,[STAR] Foreign standing order conclusion does not validate beneficiary account,8/7/24,0.53h,0.37h,0.42h,,,,0.60h,118.23h,0.30h,196.07h,,,,15117.73h,,,,
,CALLS-780,Forms Teller - Adjust outgoing payment list form for Cross-border Instant payments (SIPCO),11/25/24,0.03h,24.55h,2802.10h,,,,25.32h,72.07h,0.25h,3.92h,,,,12474.40h,,,,
,CALLS-688,iBank: merge domestic and international standing order creation form,3/3/25,0.05h,,2201.33h,,,,1038.28h,1841.88h,91.08h,79.02h,,,,10127.12h,,,,
,CALLS-578,Payment to non-SEPA country - BIC to non-SEPA country is replaced with derived IBAN BIC,9/5/24,788.63h,,237.85h,,,,,,,,,,,,14425.60h,,,
,CALLS-684,iBank: merge domestic and international defined payment creation form,1/16/25,22.35h,,2035.13h,,,,189.85h,1510.40h,180.25h,302.13h,,,,11234.40h,,,,
,CALLS-581,Star: due to missing data it's not possible to open old e-invoice seller agreement,8/14/24,1.48h,,161.18h,,,,0.12h,239.95h,71.93h,49.48h,,,,14952.70h,,,,
,CALLS-777,Forms Teller - Adjust recall for outgoing Cross-border Instant payment (SIPCO),12/13/24,0.07h,196.57h,2993.47h,,,,0.95h,27.23h,144.88h,22.38h,,,,12044.90h,,,,
Production bug,CALLS-575,Payment to non-SEPA country importing as defective,8/8/24,0.00h,,335.47h,,,,0.00h,25.97h,4.90h,22.97h,,,,15092.37h,,,,
,CALLS-778,Forms Teller - Adjust payment details form for outgoing Cross-border Instant payments (SIPCO),12/12/24,0.00h,316.37h,2801.98h,,,,94.47h,51.25h,21.58h,169.60h,,,,12070.90h,,,,
,CALLS-786,Forms Teller - Adjust payments search for Cross-border Instant payments (SIPCO/SIPCI),11/25/24,0.00h,198.32h,2752.15h,,,,3.45h,24.88h,68.93h,2.38h,,,,12476.33h,,,,
,CALLS-573,STAR: terminated E-invoice seller agreement editing,8/2/24,118.62h,,0.00h,,,,0.07h,240.85h,0.00h,3.07h,,,,15238.17h,,,,
